Milena,,Silvius,,Finn,
10,0,10,0,10,0
30,0,30,0,30,0
60,0,60,1,20,2
50,1,100,2,50,1
90,2,90,2,90,0
140,4,80,1,140,3
200,4,50,0,200,0
240,2,100,3,190,2
300,4,60,0,240,3
370,6,110,3,230,1
410,2,160,3,220,5
390,3,150,3,290,5
460,5,120,5,250,1
530,5,100,2,240,6
520,6,70,1,230,7
580,4,60,5,330,8
670,7,50,3,410,6
760,7,0,0,400,7
750,8,140,12,390,0
740,5,120,5,520,11
