Milena,,Lina,,Silvius,,Finn,
30,1,10,0,10,0,10,0
50,0,0,2,90,0,40,1
40,2,-10,1,60,0,30,1
70,1,30,0,50,3,60,1
50,2,10,2,20,0,110,3
40,2,60,3,50,1,140,1
110,0,20,0,90,2,190,3
90,3,60,2,80,2,230,2
180,0,50,3,170,0,300,5
160,6,40,3,270,0,350,3
