Silvius,,Milena,,Hannah,,Finn,
-30,0,-10,1,10,0,10,0
10,0,20,1,0,1,40,1
40,0,10,2,30,1,70,1
30,1,40,0,60,1,100,1
20,1,30,3,90,1,140,2
50,1,20,2,140,3,170,1
110,0,70,3,130,2,160,4
100,1,110,2,160,1,210,3
90,0,160,3,210,3,250,2
120,1,210,3,240,1,240,6
110,3,200,3,230,3,230,4
100,3,260,4,280,3,280,3
80,4,360,0,270,4,340,4
190,0,470,0,260,5,330,7
250,4,460,5,380,0,420,7
