Silvius,,Milena,,Hannah,,Finn,
10,0,10,0,10,0,-30,0
30,0,-20,0,30,0,0,1
20,1,-30,2,20,1,30,0
10,2,0,0,50,0,10,1
0,2,-10,1,40,2,40,1
50,0,40,0,30,3,100,4
110,0,30,4,90,4,160,0
160,3,90,0,70,2,150,2
150,3,40,0,60,1,190,2
210,4,30,3,100,2,230,2
200,3,20,2,150,3,220,4
240,2,10,4,220,5,260,2
280,2,70,4,210,3,240,5
